      1 Berridge, Virgina
      4 Berridge, Virginia
      1 Berridge, Virginia S.
      1 Berringer, Christopher
      5 Berry, Helen
      1 Berry, Philippa J.
      1 Bessell, Richard
      1 Bessel, Richard J.
      1 Bessel, R.J.
      6 Best, Antony M.
      4 Best, G.F.A.
      1 Bethel, D.
      1 Bethell, Leslie M.
      8 Bethell, L.M.
      1 Betteridge, Tom
      1 Bettey, J.H.
      4 Betts, Paul
      7 Betts, Paul R.
      6 Betts, R.S.
      3 Bew, P.A.E.
      1 Bhattacharya, N.
      2 Bhattacharya, Sanjoy
      1 Biagini, Eugenio
      3 Biagini, Eugenio F.
     10 Bickers, Robert
      1 Bickers, Robert A.
      3 Biddiss, M.D.
      2 Biddiss, Michael D.
      3 Biddle, M.
      1 Biddle, Martin
      3 Bidwell, R.L.
      1 Bidwell, Robin L.
      1 Bielenberg, A.
      4 Bielenberg, Andy
      1 Bienefeld, M.A.
      2 Biller, Peter
      1 Biller, Peter P. A.
      3 Biller, Peter P.A.
      1 Biller, P.P.A.
      1 Billinge, Mark D.
      4 Billinge, M.D.
      1 Billington, L.
      1 Billington, Louis
      1 Bindman, D.
      3 Bindman, David
      4 Bindoff, S.T.
     18 Binfield, J.C.G.
      8 Binfield, J. Clyde G.
      4 Bingham, Adrian C.
      1 Binski, P.
      1 Binski, Paul
      1 Birch, D.L.
      1 Bird.
      1 Birdsall, J.N.
      2 Birley, A. R.
      3 Birley, A.R.
      1 Birley, E.B.
      1 Birmingham, David B.
      1 Birmingham, D.B.
      1 Bitsakakis, George
      2 Bivins, Roberta E.
      2 Blackbourn, D.G.
      1 Blackburn, Robert
      1 Black, C.F.
      2 Black, Christopher F.
      1 Blacker, C.E.
      1 Black, J.
      7 Black, Jeremy
      1 Black, Jeremy M.
      1 Black, J.M.
      1 Black, L.
      1 Black, Lauchlan G.
      7 Blackman, Janet M.
      1 Black, R.D.
      1 Black, Robert
      1 Black, Robert D.
      1 Blackstock, A.
      2 Blackstock, Allan
      1 Blackstone, Tessa A.
      1 Blair, P.E.
      2 Blair, W.J.
      3 Blair, W. John
      1 Blake, Andrew J.
      4 Blakemore, H.
      8 Blake, R.N.W.
      3 Blanchard, Ian S.W.
      5 Blanchard, I.S.W.
      3 Bland, D.E.
      1 Bland, Lucy
      1 Blanning, T. C. W.
     10 Blanning, T.C.W.
      1 Blanning, Tim C.W.
     10 Blanning, Timothy C.W.
      1 Blinkhorn, Martin
      5 Blinkhorn, R.M.
      4 Blinkhorn, R. Martin
      1 Bliss, R.M.
      1 Bloomer, K.D.
      1 Bluenhofer, Edith
      2 Blunt, A.F.
      1 Blyth, Robert
      1 Blyth, W.A.L.
      1 Boak, Helen
      1 Boal, F.W.
      1 Board, C.
      7 Boardman, J.
      1 Boardman, John
      1 Boardman, Stephen I.
      3 Boardman, Steven I.
      1 Boast, R.B.
      1 Bogdanor, V.B.
      1 Bogdanor, Vernon B.
      1 Boivin, Nicole
      1 Bolt, Christine  A.
      3 Bolt, Christine A.
      1 Bolton, Brenda
      4 Bolton, Brenda M.
      1 Bolton, J.L.
      1 Bombi, Barbara
     28 Bond, B.J.
     11 Bond, Brian J.
      1 Bone, R.C.
      3 Bonney, Richard J.
      1 Bonomi, P.
      1 Boobbyer, Philip
      3 Booth, A.E.
      5 Booth, Alan E.
      3 Booth, Paul H.W.
      1 Booth, Philip
      1 Borden, Ian
      1 Borell, Merriley
      4 Borsay, Anne
      1 Borsay, Peter
      1 Borsay, Peter N.
      1 Bose, Mishtooni
      4 Bossy, J.A.
      1 Bosworth, C. E.
     17 Bosworth, C.E.
      2 Bosworth, Richard
      1 Bothwell, James
      2 Bottomore, T.B.
      1 Botz, G.
      1 Boulay, F.R.H.  Du
      1 Boulton, J.
      1 Boulton, J.A.
      6 Boulton, Jeremy
      2 Boulton, Jeremy P.
      1 Bourke, Joanna
      3 Bourke, Richard
      3 Bourne, J.M.
      1 Bourne, John
      6 Bourne, John M.
      7 Bourne, K.
      1 Bovey, Alixe
      2 Bowden, Susan M.
      1 Bowen, E.G.
      2 Bowen, Huw V.
      1 Bowen, Lloyd
      2 Bowers, B.
      2 Bowers, J.K.
      2 Bowers, R.D.
      1 Bowie, E.L.
      1 Bowie, Karen
      1 Bowker, Magaret
      3 Bowker, Margaret
      3 Bowler, Peter J.
      1 Bowman, A. K.
      4 Bowman, A.K.
      1 Bowman, Alam
      2 Bowman, Alan
      4 Bowman, Alan K.
      1 Bowman, Manon
      8 Bowman, Timothy
      3 Bowness, A.
      1 Boyce, A.J.
      2 Boyce, Robert
      7 Boyce, Robert W.D.
      3 Boyce, R.W.D.
      1 Boydell, Christine E.
      1 Boyd, K.
      1 Boyle, J.A.
      2 Boynton, L.O.J.
      3 Brace, Catherine
      2 Bracewell, C. Wendy
      1 Bracewell, Wendy C.
      2 Bracke, Maud
      3 Bracken, Damian
      1 Braddick, Michael
      6 Braddick, Michael J.
     11 Brading, D.A.
      7 Brading, David A.
      1 Bradley, Ian C.
      3 Bradley, John
      1 Bradley, Sidney A.J.
      9 Bradshaw, B.I.
      4 Bradshaw, Brendan I.
      1 Bradshaw, David
      3 Brailey, N.J.
      2 Brand, C.P.
      1 Brandon, P.F.
      1 Branigan, K.
      1 Bratton, J.S.
      1 Braun, Harald
      1 Bravo, Michael
      2 Brayshay, Mark
      1 Bray, W.M.
      3 Breathnach, Ciara
      1 Breathnach, Edel
      4 Brett, Annabel S.
      1 Brett, Caroline J.A.
      1 Brett, E.A.
      4 Brett, M.
      1 Brett, Martin
      5 Brett, Michael
      2 Breuilly, J.J.
      4 Breuning, Eleanor C.M.
      1 Brewer, D. S.
      1 Brewer, D.S.
      1 Brewin, C.
      1 Brewster, Keith
      1 Brice, W.C.
      1 Brickstock, R.J.
      3 Bric, Maurice J.
      4 Bridbury, A.R.
      1 Bridge, F.R
      4 Bridge, F.R.
      1 Bridge, F. Roy
     11 Bridges, R.C.
      1 Bridges, Roy C.
      4 Brigden, Susan
      4 Brigden, Susan E.
      7 Briggs, A.
      1 Briggs, J.
      1 Briggs, J.H.Y
     39 Briggs, J.H.Y.
     13 Briggs, John H.Y.
      3 Briggs, Lord
      6 Briggs, R.
      7 Briggs, Robin
      1 Brighton, T.
      1 Brightwell, P.
      1 Brink, Stefan
      1 Briscoe, J.
      1 Briston, R.J.
      1 Britnell, R.H.
      6 Britnell, Richard H.
      1 Brivati, Brian
      1 Broadie, Alexander
      1 Broad, John P.F.
      1 Brockliss, Laurence
      2 Brockliss, Laurence W.B
      1 Brockliss, Laurence W. B.
      8 Brockliss, Laurence W.B.
      6 Brock, M.G.
      1 Brock, Sebastian
      2 Brock, Sebastian P.
      3 Brock, S.P.
     10 Brock, W.H.
      2 Brock, William H.
      1 Brock, W. R.
      4 Brock, W.R.
      1 Broers, M.G.
      1 Broers, Michael
      1 Broers, Michael G.
      1 Brogan, D. Hugh V.
      3 Brogan, D.H.V.
      3 Bromley, J.S.
      1 Brooke, Christopher N.L.
      1 Brooke, C.N.L
      8 Brooke, C.N.L.
      3 Brooke, D.
      1 Brooke, David
      1 Brooke, J.
      3 Brooke, J.H.
      1 Brooke, John H.
      2 Brookes, J.E.
      1 Brookner, Anita
      4 Brooks, C.
      6 Brooks, Christopher W.
      2 Brooks, Chris W.
      2 Brooks, Colin
      1 Brooks, C.W.
      1 Brooks, David R.
      1 Brooks, D.R.
