      9 McKean, Charles A.
      9 Matthews, J. F.
      9 Lynch, M.
      9 Lockley, Tim
      9 Leyser, K.J.
      9 Lewis, B.
      9 Lenman, B.P.
      9 Lannon, Frances
      9 Langton, J.
      9 Langhorne, R.T.B.
      9 Langford, P.
      9 Kirkwood, K.
      9 Jones, P.J.
      9 John, Angela V.
      9 John, A.H.
      9 Ingham, K.
      9 Hill, Jacqueline
      9 Highfield, J.R.L.
      9 Hayton, David W.
      9 Hawkes, Jane
      9 Harris, Jose F.
      9 Haigh, C.A.
      9 Gooch, J.
      9 Goldie, Mark A.
      9 Fyfe, C.H.
      9 Fisher, H.J.
      9 Edwards, O.D.
      9 Duffy, E.
      9 Du Boulay, F.R.H.
      9 Donnachie, I.L.
      9 Digby, Anne
      9 Devine, T.M.
      9 Curwen, C.A.
      9 Crook, J.M.
      9 Cowie, Evelyn E.
      9 Corsi, Pietro
      9 Collinson, P.
      9 Coleman, D.C.
      9 Coats, A.W.
      9 Carpenter, M. Christine
      9 Bynum, William F.
      9 Brown, Angela
      9 Bradshaw, B.I.
      9 Bentley, M.J.
      9 Bennett, Martyn
      9 Anderson, Michael
      9 Anderson, David M.
      9 Aldrich, R.E.
      8 Zeldin, T.
      8 Yasamee, F.A.K.
      8 Worboys, Michael
      8 Winter, Jay M.
      8 Wilson, R.G.
      8 Walter, John D.
      8 Wallace-Hadrill, J.M.
      8 Vincent, David M.
      8 Treble, J.H.
      8 Trebilcock, R.C.
      8 Tiedemann, R. Gary
      8 Thorpe, A.J.
      8 Thompson, J.A.
      8 Thomas, K.V.
      8 Taylor, D.
      8 Taylor, A.J.P.
      8 Tann, Jennifer
      8 Sutcliffe, A.R.
      8 Supple, B.E.
      8 Stone, N.
      8 Steeds, D.
      8 Slaven, A.
      8 Simpson, G.G.
      8 Shlaim, A.
      8 Sharpe, James A.
      8 Shackleton, R.M.Y.
      8 Roper, Lyndal A.
      8 Rodger, Richard G.
      8 Riley-Smith, Jonathan S.C.
      8 Richardson, Sarah
      8 Reid, Alastair J.
      8 Ramsden, J.A.
      8 Prestwich, M.C.
      8 Powell, Avril A.
      8 Porter, Dilwyn
      8 Polonsky, A.B.
      8 Plumb, J.H.
      8 Perkin, H.J.
      8 Palmer, Sarah R.
      8 Nicol, D.M.
      8 Nicholas, H.G.
      8 Newman, J.A.
      8 Mullett, Michael A.
      8 Mullett, M.
      8 Mitter, Rana S.R.
      8 Minchinton, W.E.
      8 Mason, Roger A.
      8 Marwick, A.J.B.
      8 Marland, Hilary
      8 Mahone, Sloan C.
      8 Mackesy, P.G.
      8 Ludlow, N. Piers
      8 Loud, Graham A.
      8 Leyser, Conrad
      8 Lewis, Jane E.
      8 Lewis, C.M.
      8 Klein, Lawrence E.
      8 Kedward, H.R.
      8 Hunt, E.H.
      8 Hughes, Jeff A.
      8 Hughes, Ann L.
      8 Holt, J.C.
      8 Hindle, Steve
      8 Harrison, B.H.
      8 Harper, Marjory-Ann D.
      8 Hall, S.G.
      8 Hallett, Mark L.
      8 Gray, Peter
      8 Golding, Brian J.
      8 Goldie, M.A.
      8 Geary, Larry
      8 Gazeley, Ian S.
      8 Garrard, J.A.
      8 Frere, S.S.
      8 Frere, S. S.
      8 Fraser, W.H.
      8 Fox, Harold S.A.
      8 Evans, Richard J.
      8 Ellis, Katharine
      8 Duggan, Christopher J.H.
      8 Driver, Felix F.
      8 Dendrinos, Charalambos
      8 Daunton, M.J.
      8 Darwin, J.G.
      8 Dakin, D.
      8 Cubitt, Catherine R.E.
      8 Crosland, M.P.
      8 Collins, E.J.T.
      8 Clarke, Peter F.
      8 Cheyne, A.C.
      8 Champion, Justin A.I.
      8 Cesarani, David
      8 Butcher, Andrew F.
      8 Butcher, A.F.
      8 Bush, M.L.
      8 Brooke, C.N.L.
      8 Brockliss, Laurence W.B.
      8 Bowman, Timothy
      8 Blake, R.N.W.
      8 Binfield, J. Clyde G.
      8 Bethell, L.M.
      8 Benson, John
      8 Barry, Jonathan
      8 Ball, Stuart R.
      7 Wood, I.N.
      7 Wood, Betty C.
      7 Withers, C.W.J.
      7 Whyman, J.
      7 Whittow, Mark
      7 Whiting, R.C.
      7 Whiteman, E. Anne O.
      7 Whatmore, Richard D.
      7 Warwick, Andrew C.
      7 Walsh, J.R.
      7 Tranter, N.L.
      7 Taylor, David
      7 Swan, Mary
      7 Stone, Dan
      7 Stevenson, John
      7 Stephens, W.B.
      7 Starkey, David J.
      7 Stargardt, Nicholas
      7 Smith, R.M.
      7 Skinner, Q.R.D.
      7 Sharp, Paul R.
      7 Serjeant, R.B.
      7 Schofield, R.S.
      7 Saul, S.B.
      7 Rule, John G.
      7 Ruddock, Alwyn A.
      7 Ross, Duncan M.
      7 Rollings, Neil
      7 Robinson, Francis
      7 Robertson, E.M.
      7 Reid, F.
      7 Readman, Paul A.
      7 Ranson, Edward
      7 Pullan, B.S.
      7 Prestwich, J.O.
      7 Preston, Paul
      7 Prazmowska, Anita J.
      7 Pilbeam, Pamela M.
      7 Phillipson, N.T.
      7 Peden, G.C.
      7 Parrott, David A.
      7 Parkes, M.B.
      7 O'Neill, R.J.
      7 Newman, A.N.
      7 Newitt, M.D.D.
      7 Mitchell, L.G.
      7 Miller, E.
      7 McKendrick, N.
      7 McFarland, Elaine W.
      7 McCulloch, Gary
      7 McAuley, Mary
      7 Mallett, Michael E.
      7 Lowerson, J.R.
      7 Lowe, R.A.
      7 Lewis, Colin M.
      7 Levitt, Ian
      7 Lawton, R.
      7 King, Peter J.R.
      7 Kidson, P.
      7 Kent, C. John
      7 Kennedy, Hugh N.
      7 Kedward, H. Roderick
      7 Jupp, P.J.
      7 Joyce, P.J.
      7 Jones, Stuart
      7 Jones, G.R.J.
      7 Jones, E.
      7 Johnson, J.R.B.
      7 Jenner, Mark S.R.
      7 Jenner, Mark
      7 Jackson, G.
      7 Jackson, Ben
      7 Ives, E.W.
      7 Iliffe, John
      7 Howkins, Alun J.
      7 Howell, D.
      7 Howe, Daniel W.
      7 Howard-Johnston, James D.
      7 Hoppit, Julian
      7 Holderness, B.A.
      7 Hilton, A.J.B.
      7 Hepburn, A.C.
      7 Heard, N.
      7 Heale, M.J.
      7 Hayes, P.M.
      7 Hawting, Gerald R.
      7 Hastings, A.
      7 Hartley, O.A.
      7 Harrison, J.F.C.
      7 Goodman, A.E.
      7 Glasscock, R.E.
      7 Gillard, D.R.
      7 Fox, H.S.A.
      7 Forrest, A.I.
      7 Fisher, J.R.
      7 Evans, R.H.
      7 Ellison, Mary L.A.
      7 Elliott, John
      7 Edwards, David
      7 Edgerton, David E.H.
      7 Earle, P.
      7 Dumville, David N.
      7 Dukes, Paul
      7 Duffy, M.
      7 Duffy, Eamon
      7 Dossett, Kate M.
      7 Dooley, Terence
      7 Davis, J.F.
      7 Davies, Owen
      7 Curry, Anne E.
      7 Cumpston, I. Mary
      7 Crook, Joseph Mordaunt
      7 Cowan, Edward J.
      7 Collinson, Patrick
      7 Childs, J.C.R.
      7 Charters, Erica
      7 Chalklin, C.W.
      7 Ceadel, M.E.
      7 Cartledge, P.A.
      7 Carter, Tim
      7 Cannon, J.A.
      7 Campbell, Eila M.J.
      7 Campbell, A.E.
      7 Burrows, Simon F.
      7 Burk, Kathleen
      7 Briggs, Robin
      7 Briggs, A.
      7 Brading, David A.
      7 Boyce, Robert W.D.
      7 Bourne, K.
      7 Boardman, J.
      7 Blackman, Janet M.
      7 Black, Jeremy
      7 Betts, Paul R.
      7 Berghahn, V.R.
      7 Bates, David R.
      7 Bassett, S.R.
      7 Barron, T.J.
      7 Ashworth, W.
      7 Arnold, D.J.
      7 Allmand, C.T.
      7 Alford, B.W.E.
      6 Zaidi, Z.H.
      6 Wrightson, Keith E.
      6 Worden, A.B.
      6 Winstanley, M.J.
      6 Wilson, Richard G.
      6 Wilson, C.H.
      6 Williams, G.P.
      6 Williams, Chris
      6 Wickham, Christopher J.
      6 Whitehead, L.A.
      6 Whelan, Bernadette
      6 Ward, J.T.
      6 Ward, Brian E.
      6 Walsham, Alexandra
      6 Waller, P.J.
      6 Vinson, A.J.
      6 Vincent, J.R.
      6 Vernon, N. James
      6 Venn, Fiona M.
      6 Unwin, R.W.
      6 Tyacke, Nicholas R.N.
      6 Todd, M.
      6 Tiratsoo, Nicholas E.H.
      6 Timmins, J. Geoffrey
      6 Thorp, Teresa R.
      6 Thomas, Martin
      6 Taylor, Miles
      6 Tallett, Frank
      6 Sweet, D.W.
      6 Styles, P.
      6 Strickland, Matthew J.
      6 Stockwin, J.A.A.
      6 Stobart, Jon V.
      6 Starkey, David R.
      6 Southern, R.W.
      6 Smith, Ralph B.
      6 Smith, R.
      6 Smith, N.A.F.
      6 Smith, C.W.
      6 Slade, C.F.
      6 Simmons, C.P.
      6 Sharp, P.R.
      6 Secord, Jim A.
      6 Schopflin, G.
      6 Schofield, Phillipp
      6 Ryan, David
      6 Rubinstein, N.
      6 Rubin, Patricia L.
      6 Rubin, Miri E.
      6 Rowe, W.J.
      6 Rosen, F.
      6 Rodger, Nicholas A.M.
      6 Rodger, Nicholas
      6 Robinson, Francis C.R.
      6 Robinson, F.C.R.
      6 Robbins, K.G.
      6 Roach, J.P.C.
      6 Rich, E.E.
      6 Ranft, B.McL.
      6 Ramsay, G.D.
      6 Rack, H.D.
      6 Quintrell, B.W.
      6 Quinn, D.B.
      6 Prescott, Robert G.W.
      6 Porter, R.S.
      6 Porter, A.N.
      6 Pogge von Strandmann, H.J.O.
      6 Phythian-Adams, Charles V.
      6 Phimister, Ian R.
      6 Phillipson, Nicholas T.
      6 Peden, George C.
      6 Panayi, Panikos
      6 Ó Drisceoil, Donal
      6 North, John A.
      6 North, J.D.
      6 Murray, Alan V.
      6 Monroe, Elizabeth
      6 Milton, Anthony
      6 McGarry, Fearghal P.
      6 Mawdsley, Evan
      6 Maver, Irene E.
      6 Martin, L.W.
      6 Martin, G.H.
      6 Mansergh, P.N.S.
      6 MacLeod, D.J.
      6 Macdougall, Simone C.
      6 Luscombe, D.E.
      6 Loyn, H.R.
      6 Lowe, Peter C.
      6 Lomas, Richard A.
      6 Lewis, G.
      6 Lewis, D.M.
      6 Leslie, R.F.
      6 Le Patourel, J.H.
      6 Leifer, M.
      6 Krikler, Jeremy M.
      6 Kindersley, R.K.
      6 Kidd, Alan
      6 Kenyon, J.P.
      6 Joyce, Patrick J.
      6 Jones, Max
      6 Jones, Gareth Stedman
      6 James, Alan
      6 Jackson, Mark
      6 Howard, Maurice
      6 Hope, C.A.
      6 Holmes, Colin
      6 Holmes, Clive A.
      6 Hilton, A.J. Boyd
      6 Higgs, Edward J.
      6 Hartley, Owen A.
      6 Harrop, Sylvia A.
      6 Harris, Bob
      6 Hardy, P.
      6 Hall, A.R.
      6 Hair, P.E.H.
      6 Guy, John A.
      6 Gurney, J.D.
      6 Gunn, Steven J.
      6 Griffith, W.P.
      6 Gowing, Margaret M.
      6 Goodman, M.D.
      6 Ginsborg, P.A.
      6 Gildea, Robert N.
      6 Gerth, Karl
      6 Geraghty, Anthony
      6 Gatrell, V.A.C.
      6 Fulbrook, Mary J.A.
      6 Fraser, T.G.
      6 Fox, Robert
      6 Foxhall, Lin
      6 Foster, Andrew W.
      6 Forrest, Ian
      6 Foot, Sarah
      6 Fisher, H.E.S.
      6 Faure, David W.
      6 Falkus, M.E.
      6 Englander, D.
      6 Eastwood, David S.
      6 Dunbabin, J.P.D.
      6 Driscoll, Stephen T.
      6 Downey, Declan
      6 Doherty, Gabriel
      6 Dockrill, Michael L.
      6 Deas, Malcolm D.
      6 Cunningham, Hugh St. C.
      6 Cubitt, Catherine
      6 Crossley, Paul B.
      6 Crook, David R.
      6 Cromwell, Valerie
      6 Crawford, Catherine J.
      6 Crawford, Barbara E.
      6 Cowan, C.D.
      6 Cole, W.A.
      6 Clark, Peter A.
      6 Chester, D.N.
      6 Cherry, Steven
      6 Chase, Malcolm S.
      6 Chant, Colin W.
      6 Champ, Judith F.
      6 Capp, Bernard S.
      6 Bury, J.P.T.
      6 Bull, H.
      6 Brooks, Christopher W.
      6 Brock, M.G.
      6 Britnell, Richard H.
      6 Briggs, R.
      6 Braddick, Michael J.
      6 Bourne, John M.
      6 Boulton, Jeremy
      6 Betts, R.S.
      6 Best, Antony M.
      6 Berg, Maxine
      6 Belchem, John C.
      6 Beasley, W.G.
      6 Baycroft, Timothy P.
      6 Atkinson, B.J.
      6 Arscott, Caroline H.
      6 Arnold, David J.
      6 Angell, A.E.
      6 Andreyev, C. Catherine L.
      6 Adams, D.K.
      5 Young, John W.
      5 Yeo, Eileen M.
      5 Wrigley, C.J.
      5 Worley, Matthew
      5 Woodward, John H.
      5 Woodward, J.H.
      5 Woods, J.A.
      5 Wood, Andrew
      5 Wolffe, John R.
      5 Williamson, Philip A.
      5 Williams, Glanmor
      5 Williams, Beryl J.
      5 Wickham, C.J.
      5 Whyte, William H.
      5 Whittam, J.R.
      5 West, Shearer
      5 Weindling, P.J.
      5 Weaver, M.L.H.L.
      5 Walvin, James
      5 Waller, Philip J.
      5 Vinen, Richard C.
      5 Vale, M.G.A.
      5 Turner, J.A.
      5 Towle, P.A.
      5 Tombs, Robert P.
      5 Thurlow, Richard C.
      5 Thomson, Mathew
      5 Teichova, Alice
      5 Taylor, P.M.
      5 Tapsell, Grant
      5 Studd, J.R.
      5 Strange, Julie-Marie
      5 Stockwell, A.J.
      5 Stead, Peter P.
      5 Smout, T. Christopher
      5 Smith, Stephen A.
      5 Smith, P.
      5 Smith, Jeremy R.
      5 Smeaton, W.A.
      5 Smalley, Beryl
      5 Sleigh, Charlotte
      5 Slack, P.A.
      5 Silver, H.
      5 Short, R.S.
      5 Shlaim, Avi
      5 Shaw, Gareth
      5 Sharpe, Richard
      5 Sharpe, J.A.
      5 Searle, Alaric
      5 Searby, P.
      5 Scott, G.
      5 Scarisbrick, J.J.
      5 Russell, C.A.
      5 Rupp, E.G.
      5 Rule, J.G.
      5 Rolo, P.J.V.
      5 Robertson, John C.
      5 Roberts, Michael F.
      5 Richardson, R.C.
      5 Reid, Brian Holden
      5 Raven, James R.
      5 Rathbone, Richard J.A.R.
      5 Ratcliffe, D.J.
      5 Purdue, A. William
      5 Price, R.D.
      5 Price, D.T.W.
      5 Power, Michael J.
      5 Potter, J.
      5 Poole, Robert J.R.
      5 Platt, D.C.St.M.
      5 Platt, D.C.M.
      5 Platt, C.P.S.
      5 Platt, Colin P.S.
      5 Pierce, G.O.
      5 Phillips, Jonathan P.
      5 Pelling, C.B.R.
      5 Outhwaite, R.B.
      5 Oram, Richard D.
      5 O'Hanlon, Rosalind
      5 O'Gorman, Francis
      5 O'Driscoll, Mervyn
      5 O'Day, M. Rosemary
      5 Nicolson, Colin
      5 Mulholland, Marc
      5 Morris, Richard
      5 Morgan, Susan
      5 Mitchell, Leslie G.
      5 Milward, A.S.
      5 Milward, Alan S.
      5 Millar, F. G. B.
      5 Middlemas, R.K.
      5 Merson, A.L.
      5 McManners, J.
      5 McKenzie, D.F.
      5 McIvor, Arthur J.
      5 McInnes, Angus J.D.M.
      5 McGregor, O.R.
      5 McDougall, James
      5 McDonald, M.V.
      5 Mattingly, H.B.
      5 Mather, F.C.
      5 Mason, E. Emma
